City,type,room_number,Area,Street,number_in_street,city_area,price,num_of_images,floor_out_of,hasElevator,hasParking,hasBars,hasStorage,condition,hasAirCondition,hasBalcony,hasMamad,handicapFriendly,entranceDate,furniture,publishedDays,description
באר-שבע,דירה,5,148,עוזי נרקיס,8, רמות ב' ,1890000,4,קומה 3 מתוך 5,TRUE,TRUE,TRUE,FALSE,מצב הנכס:משופץ,TRUE,TRUE,TRUE,TRUE,תאריך כניסה:גמיש,ריהוט:ללא,,"מה זמן אתם כבר מחפשים דירת 5 חדרים למכירה ברמות?
אז מצאתם! והבונוס: ללא תיווך!
דירה יפיפיה, בנויה 8 שנים של אביסרור. מתחם מושלם, מושקע ומטופח. קרוב להכל! אבל שקט. ברחוב עוזי נרקיס.
> קומה 3
>148 מ""ר בארנונה
>חניה פרטית
> חימום מים בגז
>יחידת הורים עם שירוקלחת+חדר ארונות
>יחידת מתבגר עם שירוקלחת בכניסה לדירה.
>מחסן קטן למכונת הכביסה והמייבש בנפרד מהמקלחת המרכזית.! מקלחת מרכזית גדולה ומרווחת.
>נוף פתוח לכל באר שבע
> פינת אוכל מוגדרת
>2 דיירים בקומה ללא קירות משותפים!
פשוט תפור למשפחות שמחפשות דירה מרווחת בתכנון מושלם!
וכל זאת: ללא תיווך!"
באר-שבע,דירה,2,52,אליהו הנביא,2, שכונה ד ,540000,10,קומת קרקע,TRUE,TRUE,TRUE,FALSE,מצב הנכס:משופץ,TRUE,FALSE,FALSE,TRUE,תאריך כניסה:גמיש,"ריהוט:מכונת כביסה, כיריים חשמליים, מקררשולחן אוכל +4 כסאות2 שולחנות סלוניים עגולים זכוכיתארון בגדים, מיטה ושידה",,"דירת מקסימה ומוארת בת 2 חדרים ,בארנונה 52.67 כולל שטח ציבורי . שיפוץ יסודי של הדירה כולל החלפת תשתיות צנרת וחשמל. הבנין והלובי עברו שיפוץ. בנין מתוחזק ונקי ,כולל מצלמות,במטרה לשמור על רמת החיים במבנה. דירה מושכרת לסטו 1900שח . לציבור הסטודנטים - 10 דק הליכה לאוניברסיטה (קיים מבנה -שלוחה של האוניברסיטה מול הבניין והאזור כולו בהתפתחות). חנייה בשפע באזור. אין בעיית טאבו! מתווך-אין חתימת בלעדיותקרא עוד"
באר-שבע,דירה,2,54,רחבת חי ל,, שכונה ו ,650000,7,קומה 2 מתוך 4,FALSE,TRUE,TRUE,FALSE,מצב הנכס:שמור,TRUE,FALSE,FALSE,FALSE,תאריך כניסה:לא צויין,ריהוט:לא צויין,,"רחבת החי״ל(ו׳ חדשה)
פצצה להשקעה/ מגורים!!
2 חדרים, 53 מ״ר, קומה 2/4.
דירה מקסימה ומוארת
מושכרת ב-2,400₪ לשנה
בקרבת מרכזי חנויות, גנים ופארקים. 
כניסה יפה ומסודרת.
במחיר מציאה "
באר-שבע,קוטג',6,182,שמחת כהן,, שכונה ו ,2750000,19,קומת קרקע,FALSE,TRUE,TRUE,TRUE,מצב הנכס:חדש,TRUE,TRUE,TRUE,TRUE,תאריך כניסה:גמיש,ריהוט:לא צויין,,למהירי  החלטה נכס מדהים שלא יוצא כל  יום בקריה החרדית של באר שבע אזור מבוקש מאוד נכס מדהים 6  חד יחידת הורית ענקית בקומת  כניסה ממד חניה ומחסן מרפסת מחדר השינה סורגים  בכל הבית אופן ספייס מדהים לפרטים  נוספים  חפשו  אותנו רונן איסטחרוב יועץ נדלן 
באר-שבע,דירה,4,120,מרווה,14, שכונה ב ,1730000,10,קומה 4 מתוך 6,TRUE,TRUE,TRUE,FALSE,מצב הנכס:חדש,TRUE,TRUE,TRUE,TRUE,תאריך כניסה:גמיש,ריהוט:לא צויין,,
באר-שבע,דירה,3,70,שיטרית,7, שכונה יא ,860000,5,קומה 2 מתוך 3,FALSE,TRUE,TRUE,FALSE,מצב הנכס:משופץ,TRUE,FALSE,FALSE,TRUE,תאריך כניסה:גמיש,ריהוט:לא צויין,,"שלום רב, מדובר בדירה בקומה ראשונה . 3 חדרים . הדירה עברה את השיפוץ הבא לפני שנה : צביעה כוללת , החלפת צנרת בכל הבית, חדר אמבטיה חדש (מונגש לנכים ) הבניין הוא חלק מפרויקט שנבחר לעבור פינוי בינוי . כרגע נמצא בשלבים ראשונים ביותר של היזם למול נציגות הבניינים. בדירה יש שני מזגנים , מטבח ודלתות שלא הוחלפו הדירה לא מתיווך . הבניין מתוחזק ברמה גבוהה מאוד וישנה דלת אינטרקום ותיבות דואר חדשות"
באר-שבע,דירה,6,85,שיטרית,2, שכונה יא ,1950000,5,קומה 3 מתוך 3,FALSE,TRUE,TRUE,FALSE,מצב הנכס:לא צויין,TRUE,FALSE,FALSE,FALSE,תאריך כניסה:מיידי,ריהוט:לא צויין,,"למכירה מגרש בשכונה היוקרתית ומבוקשת ביותר כלניות.שטח 451 מטר( בודד ולא דו) אם היתר בניה. שלמו מלוא האגרות, היטלים, פיתוח, אדריכל,ותוכניות.יעוד: הקמת בית מגורים חד משפחתי, דו קומתי הכולל יחידת תעסוקה, מרתף, בריכת שחיה וחניות מקורות."
באר-שבע,דירה,4,80,גוש עציון,, שכונה ג ,860000,8,קומה 1 מתוך 3,FALSE,TRUE,TRUE,FALSE,מצב הנכס:חדש,TRUE,FALSE,FALSE,FALSE,תאריך כניסה:מיידי,"ריהוט:הדירה מאובזרת מקצה לקצה<br />בכל חדר - מיטה ארון שולחן וכיסא<br />מטבח מאובזר בכל מוצרי החשמל - מקרר, תנור, כיריים, מיקרוגל<br /><br />יש מכונת כביסה בדירה מזגנים בכל החדרים ובסלון<br />פשוט להגיע עם תיק בגדים ולהכנס לדירה<br />",,"דירת 4 חדרים 
בכל חדר שירותים ומקלחת פרטיים
משופצת מהיסוד הכל חדש! אינסטלציה חשמל ריצוף מטבח
מרוהטת קומפלט
מרחק של 12 דק הליכה לאוניברסיטה 
5 דק הליכה מרכבת צפון
דירה מהממת שעברה סטיילינג ועיצוב פנים 
פוטנציאל שכירות של 3600 לחודש
תשואה שנתית של מעל 5% 
עסקה מעולה למשקיעים שמחפשים שקט
"
באר-שבע,בית פרטי,35,300,תל חי,8, שכונה א ,1250000,5,קומת קרקע,FALSE,TRUE,TRUE,TRUE,מצב הנכס:שמור,TRUE,TRUE,FALSE,FALSE,תאריך כניסה:מיידי,ריהוט:ללא,,"ללא תיווך (מתווכים נא לא להתקשר)
בית יפה בקרבה למכללה עם חצר גדולה.
הבית היה מושכר עד עכשיו לסטודנטים.
יש אפשרות לבניה נוספת לממד ולהגדלת הבית.
השקעה מצויינת !"
באר-שבע,דירה,3,53,יוחנן הורקנוס,35, שכונה ד ,920000,5,קומת קרקע,FALSE,TRUE,TRUE,FALSE,מצב הנכס:שמור,TRUE,FALSE,FALSE,FALSE,תאריך כניסה:גמיש,ריהוט:חלקי,,"למכירה 

ביוחנן הורקנוס - ללא דמי תיווך, שכונה ד׳, קומת קרקע, 3 חדרים בשטח 53 מר, סמוכה לאוניברסיטה במרחק הליכה במיקום מאד מבוקש לסטודנטים. 
הדירה מושכרת בתמורה ל-2,750 שח לחודש 
מדהימה ביופייה ומתוחזקת."
באר-שבע,דירה,4,122,האוזנר גדעון,, רמות ב' ,1500000,6,קומה 1 מתוך 6,TRUE,TRUE,TRUE,FALSE,מצב הנכס:חדש,TRUE,TRUE,TRUE,FALSE,תאריך כניסה:לא צויין,ריהוט:לא צויין,,"דירת 4 חדרים בפרויקט מיוחד וחדיש של ""שבה""תכנון דירה ברמה הכי גבוהה, קומפלקס מושלם,מיקום מצוין, בקיצר אין דירות כאלהמרפסת לכיוון הפתוח..מחיר הזדמנות גמיש לקוראי המודעה"
באר-שבע,דירה,4,85,יציאת אירופה,8, שכונה ה ,1050000,6,קומה 1 מתוך 3,FALSE,TRUE,TRUE,FALSE,מצב הנכס:משופץ,TRUE,FALSE,FALSE,FALSE,תאריך כניסה:מיידי,ריהוט:מרוהט קומפלט,,"5.1% תשואה שנתית בעיר באר-שבע:
למכירה דירה מחולקת ל-2 יחידות משופצות ומאובזרות קומפלט.
קומה 1 מתוך 3.
מושכר ב- 4,500ש""ח בנטו.
מיקום הדירה ברחוב יציאת אירופה שכונה ה'
גודל הדירה 85מ""ר ( בארנונה )
יחידה גדולה 45מ""ר
יחידה קטנה 40מ""ר
הנכס בייצוג בלעדי!
אלון בצלאל יועץ נדל""ן בחב' אפיקי הנגב"
באר-שבע,דירה,3,76,צפת,44, שכונה ט ,1090000,12,קומה 5 מתוך 8,TRUE,TRUE,TRUE,FALSE,מצב הנכס:משופץ,TRUE,FALSE,FALSE,FALSE,תאריך כניסה:מיידי,ריהוט:חלקי,,"ללא תיווך - מתווכים נבקשכם לא לפנות :)
דירה מקסימה במיקום מצויין, הדירה משופצת בסטנדרט גבוה, מטבח חדש, דלתות חדשות, שירותים מקלחת ומקלחון חדשים כולל צנרת וביוב חדשים. הדירה כוללת מקרר, תנור, כריים, מכונת כביסה, דוד חשמל, מזגן בכל חדר ומזגן בסלון.
הדירה בבניין נעים ומטופח עם מעלית, בסמוך לגרנד קניון, מוסדות חינוך, חנייה בשפע, מיקום מעולה!! הדירה מושכרת ב-3,150 שח עד ה-1.7.23"
